"","subject","type","item","condition","question","correct_answer","response","rt","group","ambiguity","trimmed_rt"
"26",1,"gap",22,"b","!","{Yes}",0,3000,"L1","Unambiguous",3000
"43",1,"gap",16,"b","!","{No}",1,2705,"L1","Unambiguous",2705
"47",1,"gap",21,"a","!","{Yes}",0,1914,"L1","Ambiguous",1914
"51",1,"gap",19,"a","!","{Yes}",0,2490,"L1","Ambiguous",2490
"71",1,"gap",13,"a","!","{Yes}",0,2284,"L1","Ambiguous",2284
"82",1,"gap",14,"b","!","{Yes}",0,1526,"L1","Unambiguous",1526
"96",1,"gap",20,"b","!","{No}",1,1910,"L1","Unambiguous",1910
"119",1,"gap",24,"b","!","{No}",1,3237,"L1","Unambiguous",3237
"123",1,"gap",23,"a","!","{Yes}",0,2275,"L1","Ambiguous",2275
"162",1,"gap",18,"b","!","{No}",1,2996,"L1","Unambiguous",2996
"165",1,"gap",17,"a","!","{No}",1,3227,"L1","Ambiguous",3227
"179",1,"gap",15,"a","!","{No}",1,1968,"L1","Ambiguous",1968
"205",2,"gap",14,"a","!","{Yes}",0,2003,"L1","Ambiguous",2003
"213",2,"gap",20,"a","!","{No}",1,2414,"L1","Ambiguous",2414
"237",2,"gap",23,"b","!","{Yes}",0,3213,"L1","Unambiguous",3213
"279",2,"gap",18,"a","!","{Yes}",0,1017,"L1","Ambiguous",1017
"283",2,"gap",17,"b","!","{Yes}",0,2780,"L1","Unambiguous",2780
"300",2,"gap",21,"b","!","{Yes}",0,1187,"L1","Unambiguous",1187
"304",2,"gap",15,"b","!","{Yes}",0,1954,"L1","Unambiguous",1954
"310",2,"gap",19,"b","!","{No}",1,1110,"L1","Unambiguous",1110
"318",2,"gap",13,"b","!","{Yes}",0,931,"L1","Unambiguous",931
"327",2,"gap",24,"a","!","{No}",1,936,"L1","Ambiguous",936
"334",2,"gap",22,"a","!","{No}",1,2509,"L1","Ambiguous",2509
"338",2,"gap",16,"a","!","{Yes}",0,1518,"L1","Ambiguous",1518
"385",3,"gap",13,"a","!","{Yes}",0,2733,"L1","Ambiguous",2733
"391",3,"gap",14,"b","!","{Yes}",0,2678,"L1","Unambiguous",2678
"416",3,"gap",23,"a","!","{Yes}",0,6209,"L1","Ambiguous",6209
"423",3,"gap",24,"b","!","{No}",1,2442,"L1","Unambiguous",2442
"444",3,"gap",16,"b","!","{No}",1,4303,"L1","Unambiguous",4303
"459",3,"gap",20,"b","!","{Yes}",0,2795,"L1","Unambiguous",2795
"467",3,"gap",15,"a","!","{Yes}",0,3680,"L1","Ambiguous",3680
"485",3,"gap",19,"a","!","{Yes}",0,2211,"L1","Ambiguous",2211
"493",3,"gap",22,"b","!","{No}",1,1633,"L1","Unambiguous",1633
"496",3,"gap",17,"a","!","{No}",1,1418,"L1","Ambiguous",1418
"512",3,"gap",21,"a","!","{Yes}",0,14076,"L1","Ambiguous",14076
"522",3,"gap",18,"b","!","{Yes}",0,3490,"L1","Unambiguous",3490
"555",4,"gap",17,"b","!","{Yes}",0,1437,"L1","Unambiguous",1437
"566",4,"gap",20,"a","!","{No}",1,2275,"L1","Ambiguous",2275
"569",4,"gap",24,"a","!","{Yes}",0,1499,"L1","Ambiguous",1499
"582",4,"gap",19,"b","!","{Yes}",0,1145,"L1","Unambiguous",1145
"610",4,"gap",13,"b","!","{Yes}",0,1423,"L1","Unambiguous",1423
"648",4,"gap",22,"a","!","{Yes}",0,1518,"L1","Ambiguous",1518
"659",4,"gap",14,"a","!","{Yes}",0,1213,"L1","Ambiguous",1213
"666",4,"gap",15,"b","!","{No}",1,2305,"L1","Unambiguous",2305
"677",4,"gap",18,"a","!","{Yes}",0,1635,"L1","Ambiguous",1635
"681",4,"gap",16,"a","!","{Yes}",0,1869,"L1","Ambiguous",1869
"704",4,"gap",23,"b","!","{Yes}",0,1052,"L1","Unambiguous",1052
"718",4,"gap",21,"b","!","{Yes}",0,1157,"L1","Unambiguous",1157
"740",5,"gap",24,"b","!","{Yes}",0,2421,"L1","Unambiguous",2421
"743",5,"gap",15,"a","!","{Yes}",0,1540,"L1","Ambiguous",1540
"753",5,"gap",17,"a","!","{Yes}",0,2373,"L1","Ambiguous",2373
"804",5,"gap",23,"a","!","{Yes}",0,2801,"L1","Ambiguous",2801
"812",5,"gap",22,"b","!","{Yes}",0,2199,"L1","Unambiguous",2199
"831",5,"gap",21,"a","!","{Yes}",0,1830,"L1","Ambiguous",1830
"839",5,"gap",14,"b","!","{Yes}",0,1296,"L1","Unambiguous",1296
"849",5,"gap",16,"b","!","{Yes}",0,1661,"L1","Unambiguous",1661
"860",5,"gap",18,"b","!","{No}",1,1527,"L1","Unambiguous",1527
"867",5,"gap",20,"b","!","{Yes}",0,3016,"L1","Unambiguous",3016
"870",5,"gap",19,"a","!","{Yes}",0,1838,"L1","Ambiguous",1838
"881",5,"gap",13,"a","!","{Yes}",0,1664,"L1","Ambiguous",1664
"923",6,"gap",24,"a","!","{No}",1,1230,"L1","Ambiguous",1230
"929",6,"gap",15,"b","!","{Yes}",0,2846,"L1","Unambiguous",2846
"938",6,"gap",13,"b","!","{Yes}",0,1794,"L1","Unambiguous",1794
"966",6,"gap",14,"a","!","{Yes}",0,7162,"L1","Ambiguous",7162
"981",6,"gap",18,"a","!","{Yes}",0,1361,"L1","Ambiguous",1361
