"","subject","type","item","condition","question","correct_answer","response","rt","group","ambiguity","trimmed_rt"
"15",1,"gp",14,"b","0","-","-",3384,"L1","Unambiguous",3384
"22",1,"gp",3,"c","0","-","-",4156,"L1","Ambiguous",4156
"28",1,"gp",4,"d","0","-","-",3489,"L1","Unambiguous",3489
"32",1,"gp",7,"c","0","-","-",5264,"L1","Ambiguous",5264
"61",1,"gp",9,"a","0","-","-",5412,"L1","Ambiguous",5412
"67",1,"gp",6,"b","0","-","-",3704,"L1","Unambiguous",3704
"74",1,"gp",5,"a","0","-","-",6646,"L1","Ambiguous",6646
"88",1,"gp",20,"d","0","-","-",6440,"L1","Unambiguous",6440
"91",1,"gp",19,"c","0","-","-",3546,"L1","Ambiguous",3546
"99",1,"gp",17,"a","0","-","-",4075,"L1","Ambiguous",4075
"105",1,"gp",2,"b","0","-","-",3114,"L1","Unambiguous",3114
"111",1,"gp",12,"d","0","-","-",4900,"L1","Unambiguous",4900
"115",1,"gp",18,"b","0","-","-",4411,"L1","Unambiguous",4411
"125",1,"gp",1,"a","0","-","-",3168,"L1","Ambiguous",3168
"129",1,"gp",10,"b","0","-","-",4849,"L1","Unambiguous",4849
"132",1,"gp",11,"c","0","-","-",3770,"L1","Ambiguous",3770
"135",1,"gp",13,"a","0","-","-",7652,"L1","Ambiguous",7652
"139",1,"gp",24,"d","0","-","-",5284,"L1","Unambiguous",5284
"143",1,"gp",16,"d","0","-","-",7749,"L1","Unambiguous",7749
"146",1,"gp",21,"a","0","-","-",7780,"L1","Ambiguous",7780
"150",1,"gp",22,"b","0","-","-",5617,"L1","Unambiguous",5617
"158",1,"gp",15,"c","0","-","-",9105,"L1","Ambiguous",9105
"170",1,"gp",23,"c","0","-","-",4358,"L1","Ambiguous",4358
"174",1,"gp",8,"d","0","-","-",3081,"L1","Unambiguous",3081
"194",2,"gp",16,"a","0","-","-",7234,"L1","Ambiguous",7234
"201",2,"gp",17,"b","0","-","-",4808,"L1","Unambiguous",4808
"208",2,"gp",4,"a","0","-","-",7346,"L1","Ambiguous",7346
"216",2,"gp",15,"d","0","-","-",3568,"L1","Unambiguous",3568
"222",2,"gp",2,"c","0","-","-",4187,"L1","Ambiguous",4187
"229",2,"gp",10,"c","0","-","-",5184,"L1","Ambiguous",5184
"240",2,"gp",6,"c","0","-","-",9151,"L1","Ambiguous",9151
"246",2,"gp",19,"d","0","-","-",7389,"L1","Unambiguous",7389
"260",2,"gp",20,"a","0","-","-",5120,"L1","Ambiguous",5120
"264",2,"gp",14,"c","0","-","-",15480,"L1","Ambiguous",NA
"268",2,"gp",8,"a","0","-","-",6755,"L1","Ambiguous",6755
"274",2,"gp",1,"b","0","-","-",2699,"L1","Unambiguous",2699
"285",2,"gp",12,"a","0","-","-",3499,"L1","Ambiguous",3499
"288",2,"gp",24,"a","0","-","-",4612,"L1","Ambiguous",4612
"292",2,"gp",3,"d","0","-","-",4289,"L1","Unambiguous",4289
"296",2,"gp",23,"d","0","-","-",4385,"L1","Unambiguous",4385
"306",2,"gp",9,"b","0","-","-",2218,"L1","Unambiguous",2218
"313",2,"gp",5,"b","0","-","-",5668,"L1","Unambiguous",5668
"323",2,"gp",11,"d","0","-","-",2194,"L1","Unambiguous",2194
"341",2,"gp",21,"b","0","-","-",2691,"L1","Unambiguous",2691
"344",2,"gp",18,"c","0","-","-",4779,"L1","Ambiguous",4779
